Company,Year,Marketcap,Change
Amazon,2024,1.81E+12,0.152
Netflix,2024,2.59E+11,0.2163
Apple,2024,2.63E+12,-0.1226
Microsoft,2024,2.99E+12,0.07
Google,2024,1.66E+12,-0.0565
Amazon,2023,1.57E+12,0.8323
Netflix,2023,2.13E+11,0.6239
Apple,2023,2.99E+12,0.4487
Microsoft,2023,2.79E+12,0.5633
Google,2023,1.76E+12,0.5343
Amazon,2022,8.57E+11,-0.4932
Netflix,2022,1.31E+11,-0.5094
Apple,2022,2.07E+12,-0.2877
Microsoft,2022,1.79E+12,-0.2913
Google,2022,1.15E+12,-0.4027
Amazon,2021,1.69E+12,0.0348
Netflix,2021,2.67E+11,0.1196
Apple,2021,2.90E+12,0.2862
Microsoft,2021,2.52E+12,0.5
Google,2021,1.92E+12,0.6174
Amazon,2020,1.63E+12,0.7758
Netflix,2020,2.39E+11,0.6825
Apple,2020,2.26E+12,0.752
Microsoft,2020,1.68E+12,0.401
Google,2020,1.19E+12,0.2868
Amazon,2019,9.20E+11,0.2478
Netflix,2019,1.42E+11,0.215
Apple,2019,1.29E+12,0.7259
Microsoft,2019,1.20E+12,0.5381
Google,2019,9.21E+11,0.2731
Amazon,2018,7.37E+11,0.3086
Netflix,2018,1.17E+11,0.4068
Apple,2018,7.46E+11,-0.1334
Microsoft,2018,7.80E+11,0.1825
Google,2018,7.24E+11,-0.0081
Apple,2017,8.61E+11,0.4137
Microsoft,2017,6.60E+11,0.3658
Google,2017,7.29E+11,0.3532
